PostalCode,City,FederalState
23556,Lübeck,Schleswig-Holstein
23558,Lübeck,Schleswig-Holstein
23560,Lübeck,Schleswig-Holstein
23562,Lübeck,Schleswig-Holstein
23564,Lübeck,Schleswig-Holstein
23566,Lübeck,Schleswig-Holstein
23568,Lübeck,Schleswig-Holstein
23569,Lübeck,Schleswig-Holstein
23570,Lübeck,Schleswig-Holstein
23628,Lübeck,Schleswig-Holstein
23758,Oldenburg in Holstein,Niedersachsen
24103,Kiel,Schleswig-Holstein
24105,Kiel,Schleswig-Holstein
24106,Kiel,Schleswig-Holstein
24107,Kiel,Schleswig-Holstein
24109,Kiel,Schleswig-Holstein
24111,Kiel,Schleswig-Holstein
24113,Kiel,Schleswig-Holstein
24114,Kiel,Schleswig-Holstein
24116,Kiel,Schleswig-Holstein
24118,Kiel,Schleswig-Holstein
24143,Kiel,Schleswig-Holstein
24145,Kiel,Schleswig-Holstein
24146,Kiel,Schleswig-Holstein
24147,Kiel,Schleswig-Holstein
24148,Kiel,Schleswig-Holstein
24149,Kiel,Schleswig-Holstein
24159,Kiel,Schleswig-Holstein
24534,Neumünster,Nordrhein-Westfalen
24536,Neumünster,Nordrhein-Westfalen
24537,Neumünster,Nordrhein-Westfalen
24539,Neumünster,Nordrhein-Westfalen
24937,Flensburg,Schleswig-Holstein
24939,Flensburg,Schleswig-Holstein
24941,Flensburg,Schleswig-Holstein
24943,Flensburg,Schleswig-Holstein
24944,Flensburg,Schleswig-Holstein
25587,Münsterdorf,Nordrhein-Westfalen
26121,Oldenburg,Niedersachsen
26122,Oldenburg,Niedersachsen
26123,Oldenburg,Niedersachsen
26125,Oldenburg,Niedersachsen
26127,Oldenburg,Niedersachsen
26129,Oldenburg,Niedersachsen
26131,Oldenburg,Niedersachsen
26133,Oldenburg,Niedersachsen
26135,Oldenburg,Niedersachsen
26835,Schwerinsdorf,Mecklenburg-Vorpommern
27333,Schweringen,Mecklenburg-Vorpommern
27568,Bremen,Bremen
27570,Bremerhaven,Bremen
27572,Bremerhaven,Bremen
27574,Bremerhaven,Bremen
27576,Bremerhaven,Bremen
27578,Bremerhaven,Bremen
27580,Bremerhaven,Bremen
27798,Hude (Oldenburg),Niedersachsen
28195,Bremen,Bremen
28197,Bremen,Bremen
28199,Bremen,Bremen
28201,Bremen,Bremen
28203,Bremen,Bremen
28205,Bremen,Bremen
28207,Bremen,Bremen
28209,Bremen,Bremen
28211,Bremen,Bremen
28213,Bremen,Bremen
28215,Bremen,Bremen
28217,Bremen,Bremen
28219,Bremen,Bremen
28237,Bremen,Bremen
28239,Bremen,Bremen
28259,Bremen,Bremen
28277,Bremen,Bremen
28279,Bremen,Bremen
28307,Bremen,Bremen
28309,Bremen,Bremen
28325,Bremen,Bremen
28327,Bremen,Bremen
28329,Bremen,Bremen
28355,Bremen,Bremen
28357,Bremen,Bremen
28359,Bremen,Bremen
28717,Bremen,Bremen
28719,Bremen,Bremen
28755,Bremen,Bremen
28757,Bremen,Bremen
28759,Bremen,Bremen
28777,Bremen,Bremen
28779,Bremen,Bremen
30159,Hannover,Niedersachsen
30161,Hannover,Niedersachsen
30163,Hannover,Niedersachsen
30165,Hannover,Niedersachsen
30167,Hannover,Niedersachsen
30169,Hannover,Niedersachsen
30171,Hannover,Niedersachsen
30173,Hannover,Niedersachsen
30175,Hannover,Niedersachsen
30177,Hannover,Niedersachsen
30179,Hannover,Niedersachsen
30419,Hannover,Niedersachsen
30449,Hannover,Niedersachsen
30451,Hannover,Niedersachsen
30453,Hannover,Niedersachsen
30455,Hannover,Niedersachsen
30457,Hannover,Niedersachsen
30459,Hannover,Niedersachsen
30519,Hannover,Niedersachsen
30521,Hannover,Niedersachsen
30539,Hannover,Niedersachsen
30559,Hannover,Niedersachsen
30625,Hannover,Niedersachsen
30627,Hannover,Niedersachsen
30629,Hannover,Niedersachsen
30655,Hannover,Niedersachsen
30657,Hannover,Niedersachsen
30659,Hannover,Niedersachsen
31134,Hildesheim,Niedersachsen
31135,Hildesheim,Niedersachsen
31137,Hildesheim,Niedersachsen
31139,Hildesheim,Niedersachsen
31141,Hildesheim,Niedersachsen
31867,Messenkamp,Nordrhein-Westfalen
32361,Bad Essen,Nordrhein-Westfalen
33602,Bielefeld,Nordrhein-Westfalen
33604,Bielefeld,Nordrhein-Westfalen
33605,Bielefeld,Nordrhein-Westfalen
33607,Bielefeld,Nordrhein-Westfalen
33609,Bielefeld,Nordrhein-Westfalen
33611,Bielefeld,Nordrhein-Westfalen
33613,Bielefeld,Nordrhein-Westfalen
33615,Bielefeld,Nordrhein-Westfalen
33617,Bielefeld,Nordrhein-Westfalen
33619,Bielefeld,Nordrhein-Westfalen
33647,Bielefeld,Nordrhein-Westfalen
33649,Bielefeld,Nordrhein-Westfalen
33659,Bielefeld,Nordrhein-Westfalen
33689,Bielefeld,Nordrhein-Westfalen
33699,Bielefeld,Nordrhein-Westfalen
33719,Bielefeld,Nordrhein-Westfalen
33729,Bielefeld,Nordrhein-Westfalen
33739,Bielefeld,Nordrhein-Westfalen
34117,Kassel,Hessen
34119,Kassel,Hessen
34121,Kassel,Hessen
34123,Kassel,Hessen
34125,Kassel,Hessen
34127,Kassel,Hessen
34128,Kassel,Hessen
34130,Kassel,Hessen
34131,Kassel,Hessen
34132,Kassel,Hessen
34134,Kassel,Hessen
34439,Willebadessen,Nordrhein-Westfalen
34582,Borken (Hessen),Nordrhein-Westfalen
35037,Marburg,Hessen
35039,Marburg,Hessen
35041,Marburg,Hessen
35043,Marburg,Hessen
35083,Wetter (Hessen),Nordrhein-Westfalen
35096,Weimar (Lahn),Thüringen
35279,Neustadt (Hessen),Nordrhein-Westfalen
35789,Weilmünster,Nordrhein-Westfalen
36341,Lauterbach (Hessen),Nordrhein-Westfalen
37073,Göttingen,Niedersachsen
37075,Göttingen,Niedersachsen
37077,Göttingen,Niedersachsen
37079,Göttingen,Niedersachsen
37081,Göttingen,Niedersachsen
37083,Göttingen,Niedersachsen
37085,Göttingen,Niedersachsen
37431,Harz (Landkreis Göttingen),Niedersachsen
37445,Harz (Landkreis Göttingen),Niedersachsen
37520,Harz (Landkreis Göttingen),Niedersachsen
37696,Marienmünster,Nordrhein-Westfalen
38100,Braunschweig,Niedersachsen
38102,Braunschweig,Niedersachsen
38104,Braunschweig,Niedersachsen
38106,Braunschweig,Niedersachsen
38108,Braunschweig,Niedersachsen
38110,Braunschweig,Niedersachsen
38112,Braunschweig,Niedersachsen
38114,Braunschweig,Niedersachsen
38116,Braunschweig,Niedersachsen
38118,Braunschweig,Niedersachsen
38120,Braunschweig,Niedersachsen
38122,Braunschweig,Niedersachsen
38124,Braunschweig,Niedersachsen
38126,Braunschweig,Niedersachsen
38173,Evessen,Nordrhein-Westfalen
38440,Wolfsburg,Niedersachsen
38442,Wolfsburg,Niedersachsen
38444,Wolfsburg,Niedersachsen
38446,Wolfsburg,Niedersachsen
38448,Wolfsburg,Niedersachsen
39104,Magdeburg,Sachsen-Anhalt
39106,Magdeburg,Sachsen-Anhalt
39108,Magdeburg,Sachsen-Anhalt
39110,Magdeburg,Sachsen-Anhalt
39112,Magdeburg,Sachsen-Anhalt
39114,Magdeburg,Sachsen-Anhalt
39116,Magdeburg,Sachsen-Anhalt
39118,Magdeburg,Sachsen-Anhalt
39120,Magdeburg,Sachsen-Anhalt
39122,Magdeburg,Sachsen-Anhalt
39124,Magdeburg,Sachsen-Anhalt
39126,Magdeburg,Sachsen-Anhalt
39128,Magdeburg,Sachsen-Anhalt
39130,Magdeburg,Sachsen-Anhalt
40210,Düsseldorf,Nordrhein-Westfalen
40211,Düsseldorf,Nordrhein-Westfalen
40212,Düsseldorf,Nordrhein-Westfalen
40213,Düsseldorf,Nordrhein-Westfalen
40215,Düsseldorf,Nordrhein-Westfalen
40217,Düsseldorf,Nordrhein-Westfalen
40219,Düsseldorf,Nordrhein-Westfalen
40221,Düsseldorf,Nordrhein-Westfalen
40223,Düsseldorf,Nordrhein-Westfalen
40225,Düsseldorf,Nordrhein-Westfalen
40227,Düsseldorf,Nordrhein-Westfalen
40229,Düsseldorf,Nordrhein-Westfalen
40231,Düsseldorf,Nordrhein-Westfalen
40233,Düsseldorf,Nordrhein-Westfalen
40235,Düsseldorf,Nordrhein-Westfalen
40237,Düsseldorf,Nordrhein-Westfalen
40239,Düsseldorf,Nordrhein-Westfalen
40468,Düsseldorf,Nordrhein-Westfalen
40470,Düsseldorf,Nordrhein-Westfalen
40472,Düsseldorf,Nordrhein-Westfalen
40474,Düsseldorf,Nordrhein-Westfalen
40476,Düsseldorf,Nordrhein-Westfalen
40477,Düsseldorf,Nordrhein-Westfalen
40479,Düsseldorf,Nordrhein-Westfalen
40489,Düsseldorf,Nordrhein-Westfalen
40545,Düsseldorf,Nordrhein-Westfalen
40547,Düsseldorf,Nordrhein-Westfalen
40549,Düsseldorf,Nordrhein-Westfalen
40589,Düsseldorf,Nordrhein-Westfalen
40591,Düsseldorf,Nordrhein-Westfalen
40593,Düsseldorf,Nordrhein-Westfalen
40595,Düsseldorf,Nordrhein-Westfalen
40597,Düsseldorf,Nordrhein-Westfalen
40599,Düsseldorf,Nordrhein-Westfalen
40625,Düsseldorf,Nordrhein-Westfalen
40627,Düsseldorf,Nordrhein-Westfalen
40629,Düsseldorf,Nordrhein-Westfalen
42103,Wuppertal,Nordrhein-Westfalen
42105,Wuppertal,Nordrhein-Westfalen
42107,Wuppertal,Nordrhein-Westfalen
42109,Wuppertal,Nordrhein-Westfalen
42111,Wuppertal,Nordrhein-Westfalen
42113,Wuppertal,Nordrhein-Westfalen
42115,Wuppertal,Nordrhein-Westfalen
42117,Wuppertal,Nordrhein-Westfalen
42119,Wuppertal,Nordrhein-Westfalen
42275,Wuppertal,Nordrhein-Westfalen
42277,Wuppertal,Nordrhein-Westfalen
42279,Wuppertal,Nordrhein-Westfalen
42281,Wuppertal,Nordrhein-Westfalen
42283,Wuppertal,Nordrhein-Westfalen
42285,Wuppertal,Nordrhein-Westfalen
42287,Wuppertal,Nordrhein-Westfalen
42289,Wuppertal,Nordrhein-Westfalen
42327,Wuppertal,Nordrhein-Westfalen
42329,Wuppertal,Nordrhein-Westfalen
42349,Wuppertal,Nordrhein-Westfalen
42369,Wuppertal,Nordrhein-Westfalen
42389,Wuppertal,Nordrhein-Westfalen
42399,Wuppertal,Nordrhein-Westfalen
42857,Wuppertal,Nordrhein-Westfalen
44135,Dortmund,Nordrhein-Westfalen
44137,Dortmund,Nordrhein-Westfalen
44139,Dortmund,Nordrhein-Westfalen
44141,Dortmund,Nordrhein-Westfalen
44143,Dortmund,Nordrhein-Westfalen
44145,Dortmund,Nordrhein-Westfalen
44147,Dortmund,Nordrhein-Westfalen
44149,Dortmund,Nordrhein-Westfalen
44225,Dortmund,Nordrhein-Westfalen
44227,Dortmund,Nordrhein-Westfalen
44229,Dortmund,Nordrhein-Westfalen
44263,Dortmund,Nordrhein-Westfalen
44265,Dortmund,Nordrhein-Westfalen
44267,Dortmund,Nordrhein-Westfalen
44269,Dortmund,Nordrhein-Westfalen
44287,Dortmund,Nordrhein-Westfalen
44289,Dortmund,Nordrhein-Westfalen
44309,Dortmund,Nordrhein-Westfalen
44319,Dortmund,Nordrhein-Westfalen
44328,Dortmund,Nordrhein-Westfalen
44329,Dortmund,Nordrhein-Westfalen
44339,Dortmund,Nordrhein-Westfalen
44357,Dortmund,Nordrhein-Westfalen
44359,Dortmund,Nordrhein-Westfalen
44369,Dortmund,Nordrhein-Westfalen
44379,Dortmund,Nordrhein-Westfalen
44388,Dortmund,Nordrhein-Westfalen
44787,Bochum,Nordrhein-Westfalen
44789,Bochum,Nordrhein-Westfalen
44791,Bochum,Nordrhein-Westfalen
44793,Bochum,Nordrhein-Westfalen
44795,Bochum,Nordrhein-Westfalen
44797,Bochum,Nordrhein-Westfalen
44799,Bochum,Nordrhein-Westfalen
44801,Bochum,Nordrhein-Westfalen
44803,Bochum,Nordrhein-Westfalen
44805,Bochum,Nordrhein-Westfalen
44807,Bochum,Nordrhein-Westfalen
44809,Bochum,Nordrhein-Westfalen
44866,Bochum,Nordrhein-Westfalen
44867,Bochum,Nordrhein-Westfalen
44869,Bochum,Nordrhein-Westfalen
44879,Bochum,Nordrhein-Westfalen
44892,Bochum,Nordrhein-Westfalen
44894,Bochum,Nordrhein-Westfalen
45127,Essen,Nordrhein-Westfalen
45128,Essen,Nordrhein-Westfalen
45130,Essen,Nordrhein-Westfalen
45131,Essen,Nordrhein-Westfalen
45133,Essen,Nordrhein-Westfalen
45134,Essen,Nordrhein-Westfalen
45136,Essen,Nordrhein-Westfalen
45138,Essen,Nordrhein-Westfalen
45139,Essen,Nordrhein-Westfalen
45141,Essen,Nordrhein-Westfalen
45143,Essen,Nordrhein-Westfalen
45144,Essen,Nordrhein-Westfalen
45145,Essen,Nordrhein-Westfalen
45147,Essen,Nordrhein-Westfalen
45149,Essen,Nordrhein-Westfalen
45219,Essen,Nordrhein-Westfalen
45239,Essen,Nordrhein-Westfalen
45257,Essen,Nordrhein-Westfalen
45259,Essen,Nordrhein-Westfalen
45276,Essen,Nordrhein-Westfalen
45277,Essen,Nordrhein-Westfalen
45279,Essen,Nordrhein-Westfalen
45289,Essen,Nordrhein-Westfalen
45307,Essen,Nordrhein-Westfalen
45309,Essen,Nordrhein-Westfalen
45326,Essen,Nordrhein-Westfalen
45327,Essen,Nordrhein-Westfalen
45329,Essen,Nordrhein-Westfalen
45355,Essen,Nordrhein-Westfalen
45356,Essen,Nordrhein-Westfalen
45357,Essen,Nordrhein-Westfalen
45359,Essen,Nordrhein-Westfalen
47051,Duisburg,Nordrhein-Westfalen
47053,Duisburg,Nordrhein-Westfalen
47055,Duisburg,Nordrhein-Westfalen
47057,Duisburg,Nordrhein-Westfalen
47058,Duisburg,Nordrhein-Westfalen
47059,Duisburg,Nordrhein-Westfalen
47119,Duisburg,Nordrhein-Westfalen
47137,Duisburg,Nordrhein-Westfalen
47138,Duisburg,Nordrhein-Westfalen
47139,Duisburg,Nordrhein-Westfalen
47166,Duisburg,Nordrhein-Westfalen
47167,Duisburg,Nordrhein-Westfalen
47169,Duisburg,Nordrhein-Westfalen
47178,Duisburg,Nordrhein-Westfalen
47179,Duisburg,Nordrhein-Westfalen
47198,Duisburg,Nordrhein-Westfalen
47199,Duisburg,Nordrhein-Westfalen
47226,Duisburg,Nordrhein-Westfalen
47228,Duisburg,Nordrhein-Westfalen
47229,Duisburg,Nordrhein-Westfalen
47239,Duisburg,Nordrhein-Westfalen
47249,Duisburg,Nordrhein-Westfalen
47259,Duisburg,Nordrhein-Westfalen
47269,Duisburg,Nordrhein-Westfalen
47279,Duisburg,Nordrhein-Westfalen
48143,Münster,Nordrhein-Westfalen
48145,Münster,Nordrhein-Westfalen
48147,Münster,Nordrhein-Westfalen
48149,Münster,Nordrhein-Westfalen
48151,Münster,Nordrhein-Westfalen
48153,Münster,Nordrhein-Westfalen
48155,Münster,Nordrhein-Westfalen
48157,Münster,Nordrhein-Westfalen
48159,Münster,Nordrhein-Westfalen
48161,Münster,Nordrhein-Westfalen
48163,Münster,Nordrhein-Westfalen
48165,Münster,Nordrhein-Westfalen
48167,Münster,Nordrhein-Westfalen
48291,Münster,Nordrhein-Westfalen
49074,Osnabrück,Niedersachsen
49076,Osnabrück,Niedersachsen
49078,Osnabrück,Niedersachsen
49080,Osnabrück,Niedersachsen
49082,Osnabrück,Niedersachsen
49084,Osnabrück,Niedersachsen
49086,Osnabrück,Niedersachsen
49088,Osnabrück,Niedersachsen
49090,Osnabrück,Niedersachsen
49152,Bad Essen,Nordrhein-Westfalen
49632,Essen (Oldenburg),Niedersachsen
49692,Cappeln (Oldenburg),Niedersachsen
49699,Lindern (Oldenburg),Niedersachsen
50667,Köln,Nordrhein-Westfalen
50668,Köln,Nordrhein-Westfalen
50670,Köln,Nordrhein-Westfalen
50672,Köln,Nordrhein-Westfalen
50674,Köln,Nordrhein-Westfalen
50676,Köln,Nordrhein-Westfalen
50677,Köln,Nordrhein-Westfalen
50678,Köln,Nordrhein-Westfalen
50679,Köln,Nordrhein-Westfalen
50733,Köln,Nordrhein-Westfalen
50735,Köln,Nordrhein-Westfalen
50737,Köln,Nordrhein-Westfalen
50739,Köln,Nordrhein-Westfalen
50765,Köln,Nordrhein-Westfalen
50767,Köln,Nordrhein-Westfalen
50769,Köln,Nordrhein-Westfalen
50823,Köln,Nordrhein-Westfalen
50825,Köln,Nordrhein-Westfalen
50827,Köln,Nordrhein-Westfalen
50829,Köln,Nordrhein-Westfalen
50858,Köln,Nordrhein-Westfalen
50859,Köln,Nordrhein-Westfalen
50931,Köln,Nordrhein-Westfalen
50933,Köln,Nordrhein-Westfalen
50935,Köln,Nordrhein-Westfalen
50937,Köln,Nordrhein-Westfalen
50939,Köln,Nordrhein-Westfalen
50968,Köln,Nordrhein-Westfalen
50969,Köln,Nordrhein-Westfalen
50996,Köln,Nordrhein-Westfalen
50997,Köln,Nordrhein-Westfalen
50999,Köln,Nordrhein-Westfalen
51061,Köln,Nordrhein-Westfalen
51063,Köln,Nordrhein-Westfalen
51065,Köln,Nordrhein-Westfalen
51067,Köln,Nordrhein-Westfalen
51069,Köln,Nordrhein-Westfalen
51103,Köln,Nordrhein-Westfalen
51105,Köln,Nordrhein-Westfalen
51107,Köln,Nordrhein-Westfalen
51109,Köln,Nordrhein-Westfalen
51143,Köln,Nordrhein-Westfalen
51145,Köln,Nordrhein-Westfalen
51147,Köln,Nordrhein-Westfalen
51149,Köln,Nordrhein-Westfalen
51373,Köln,Nordrhein-Westfalen
51467,Köln,Nordrhein-Westfalen
52062,Aachen,Nordrhein-Westfalen
52064,Aachen,Nordrhein-Westfalen
52066,Aachen,Nordrhein-Westfalen
52068,Aachen,Nordrhein-Westfalen
52070,Aachen,Nordrhein-Westfalen
52072,Aachen,Nordrhein-Westfalen
52074,Aachen,Nordrhein-Westfalen
52076,Aachen,Nordrhein-Westfalen
52078,Aachen,Nordrhein-Westfalen
52080,Aachen,Nordrhein-Westfalen
53111,Bonn,Nordrhein-Westfalen
53113,Bonn,Nordrhein-Westfalen
53115,Bonn,Nordrhein-Westfalen
53117,Bonn,Nordrhein-Westfalen
